label,ax_0,ay_0,az_0,gx_0,gy_0,gz_0,ax_1,ay_1,az_1,gx_1,gy_1,gz_1,ax_2,ay_2,az_2,gx_2,gy_2,gz_2,ax_3,ay_3,az_3,gx_3,gy_3,gz_3,ax_4,ay_4,az_4,gx_4,gy_4,gz_4,ax_5,ay_5,az_5,gx_5,gy_5,gz_5,ax_6,ay_6,az_6,gx_6,gy_6,gz_6,ax_7,ay_7,az_7,gx_7,gy_7,gz_7,ax_8,ay_8,az_8,gx_8,gy_8,gz_8,ax_9,ay_9,az_9,gx_9,gy_9,gz_9,ax_10,ay_10,az_10,gx_10,gy_10,gz_10,ax_11,ay_11,az_11,gx_11,gy_11,gz_11,ax_12,ay_12,az_12,gx_12,gy_12,gz_12,ax_13,ay_13,az_13,gx_13,gy_13,gz_13,ax_14,ay_14,az_14,gx_14,gy_14,gz_14,timestamp_iso,take_id
IDLE,-7.869740856933594,3.4548329956054684,-5.109226342773437,-0.01052526800821008,-0.07247779489197827,0.011591117933092112,-7.996633544921875,3.430890979003906,-5.087678527832031,-0.010658499248820334,-0.03703828488965066,0.013589586542245924,-7.896077075195312,3.414131567382812,-5.240907434082031,-0.0057289433462409285,-0.023848392069235495,0.008127105677225504,-7.869740856933594,3.450044592285156,-5.200206005859375,-0.009326186842717792,-0.03863705977697371,0.0031975497746461,-7.821856823730468,3.3638533325195312,-5.173869787597656,-0.012656967857974145,-0.05222664631921963,0.008260336917835759,-7.903259680175781,3.35188232421875,-5.200206005859375,-0.009459418083328047,-0.04236753451406082,0.012257274136143382,-7.955932116699218,3.3303345092773435,-5.274426257324219,-0.016787136316892024,-0.04023583466429676,0.012656967857974145,-7.857769848632812,3.342305517578125,-5.1523219726562495,-0.018652373685435583,-0.026779479362661087,0.006261868308681946,-7.955932116699218,3.421314172363281,-5.193023400878906,-0.01692036755750228,-0.027045941843881597,0.008526799399056265,-7.941566906738281,3.438073583984375,-5.145139367675781,-0.017186830038722786,-0.029177641693645662,0.010924961730040842,-7.924807495117187,3.380612744140625,-5.183446594238281,-0.015987748873230498,-0.02997702913730719,0.011058192970651094,-7.970297326660156,3.42849677734375,-5.1523219726562495,-0.016787136316892024,-0.04023583466429676,0.005329249624410167,-7.967903124999999,3.356670727539062,-5.0948611328124995,-0.013056661579804908,-0.03797090357392244,0.008793261880276773,-7.9846625366210935,3.308786694335937,-5.078101721191406,-0.012390505376753637,-0.017852986241774057,0.014522205226517705,-7.8912886718749995,3.3638533325195312,-5.221753820800781,-0.009326186842717792,-0.022116385941302188,0.01572128639200999,2026-02-26T12:22:28.245770Z,1
IDLE,-7.481880187988281,2.935291235351562,-5.705382556152343,0.1461546709494488,0.03850382853636345,0.31669065893057413,-7.682993127441406,2.987963671875,-5.422866760253906,0.23728483952686266,0.04716385917602997,0.353862175060835,-7.692569934082031,2.9185318237304685,-5.68862314453125,0.2464777951289702,-0.026779479362661087,0.2680612561078314,-7.75721337890625,2.5857377929687497,-5.372588525390625,0.22569372159377055,-0.10125574286379316,0.19718223610317617,-7.963114721679687,2.89219560546875,-5.870582470703124,-0.1232388975644851,0.11711026049641342,0.09845788681097782,-8.252813122558594,2.8371289672851563,-5.832275244140624,-0.045565084288706925,-0.5683644724433443,-0.09819142432975732,-8.43956085205078,2.7078420776367187,-5.530605834960937,-0.08873200624642928,-0.49442113390465325,-0.13323124061025418,-8.195352282714843,2.6575638427734374,-4.745307690429687,-0.07407656977930133,-0.3058989284411436,-0.050094946469455566,-8.597578161621094,3.0645781249999997,-5.109226342773437,-0.12270597260204408,-0.08859877500581902,-0.026779479362661087,-8.398859423828124,3.0502129150390624,-5.1523219726562495,-0.06768147023000912,0.07767381327577817,-0.03490658503988659,-7.903259680175781,2.9855694702148434,-5.209782812499999,-0.08220367545652682,0.017719755001163805,-0.006928024511733216,-8.037334973144532,3.1555577880859373,-5.358223315429687,-0.0868667688778857,-0.029843797896696934,0.01705359879811253,-8.068459594726562,3.1100679565429687,-5.2265422241210935,-0.04436600312321464,-0.045032159326265905,-0.0031975497746461,-8.037334973144532,3.0214824951171875,-5.2624552490234375,-0.04316692195772235,-0.045565084288706925,0.005062787143189658,-8.149862451171874,2.882618798828125,-5.185840795898438,-0.03770444109270193,-0.026646248122050836,0.01185758041431262,2026-02-26T12:22:28.245770Z,1
IDLE,-8.042123376464843,3.1651345947265623,-5.087678527832031,-0.018652373685435583,-0.050894333913117096,0.007194486992953725,-8.154650854492187,3.076549133300781,-5.023035083007812,-0.017586523760553547,-0.04036906590490701,0.0073277182335639785,-8.176198669433592,3.057395520019531,-5.015852478027344,-0.020251148572758632,-0.054491577409593955,0.006128637068071691,-8.061276989746093,3.057395520019531,-5.006275671386718,-0.02438131703167651,-0.06461715169597326,0.009725880564548555,-8.228871105957031,3.1220389648437497,-4.963180041503906,-0.033041347671343035,-0.08433537530629089,0.016120980113840753,-8.197746484375,3.0358477050781247,-4.903325,-0.04583154676992743,-0.04236753451406082,-0.00013323124061025415,-8.099584216308592,2.9448680419921875,-5.025429284667968,-0.05049464019128633,-0.04356661567955311,0.003863705977697371,-8.034940771484374,2.971204260253906,-5.051765502929687,-0.04023583466429676,0.00013323124061025415,0.029577335415476424,-7.943961108398437,3.0550013183593747,-4.996698864746094,-0.03130934154340973,-0.01572128639200999,0.040901990867348026,-8.034940771484374,3.1124621582031247,-5.073313317871094,-0.05529096485325548,-0.10964931102223918,0.04383307816077362,-8.204929089355469,3.191470812988281,-4.975151049804687,-0.06448392045536301,-0.17786370621468933,0.027845329287543123,-8.271966735839843,3.1411925781249996,-4.797980126953124,-0.06328483928987072,-0.17626493132736626,0.03317457891195329,-8.305485559082031,3.1172505615234374,-4.627991809082031,-0.07714088831333717,-0.12896784091072602,0.035173047521107094,-8.329427575683594,3.284844677734375,-4.620809204101562,-0.0831362941407986,-0.0863338439154447,0.03743797861148142,-8.425195642089843,3.430890979003906,-4.7572786987304685,-0.07953905064432175,-0.08873200624642928,0.020251148572758632,2026-02-26T12:22:28.245770Z,1
IDLE,-8.47786807861328,3.1196447631835937,-4.290409374999999,-0.024914241994117528,-0.0003996937218307625,0.005995405827461438,-8.372523205566406,3.2058360229492187,-4.407725256347656,-0.018119448722994567,-0.048895865303963275,0.01052526800821008,-8.55448253173828,3.191470812988281,-4.247313745117188,-0.025047473234727783,-0.018119448722994567,0.0033307810152563544,-8.394071020507813,3.2800562744140622,-4.383783239746093,-0.016387442595061263,0.0035972434964768626,0.02851148549059439,-8.465897070312499,3.3399113159179685,-4.376600634765625,-0.0058621745868511835,-0.018918836166656093,0.03490658503988659,-8.336610180664062,3.258508459472656,-4.517858532714843,-0.006528330789902454,-0.06128637068071692,0.020517611053979142,-8.432378247070313,3.1316157714843746,-4.3813890380859375,-0.011324655451871604,-0.06901378263611166,0.007993874436615249,-8.48505068359375,3.1507693847656246,-4.297591979980469,-0.02145022973825092,-0.045165390566876164,0.014788667707738212,-8.475473876953124,3.2058360229492187,-4.204218115234375,-0.01505513018895872,0.00985911180515881,0.008127105677225504,-8.389282617187499,3.289633081054687,-4.314351391601562,-0.03357427263378405,-0.01212404289553313,0.004929555902579405,-8.327033374023436,3.2417490478515623,-4.3430818115234375,-0.019984686091538122,-0.023315467106794475,-0.0031975497746461,-8.451531860351562,3.201047619628906,-4.319139794921875,-0.03077641658096871,-0.07034609504221419,0.009059724361497283,-8.494627490234375,3.2824504760742186,-4.237736938476562,-0.022649310903743208,-0.04743032165725048,0.021849923460081685,-8.413224633789062,3.2441432495117186,-4.168305090332031,-0.021716692219471426,-0.016653905076281773,0.01732006127933304,-8.580818749999999,3.3327287109375,-4.283226770019531,-0.009725880564548555,-0.031575804024630234,0.021849923460081685,2026-02-26T12:22:28.245770Z,1
IDLE,-8.360552197265624,3.191470812988281,-4.398148449707031,-0.0514272588755581,-0.11018223598468019,0.0018652373685435584,-8.520963708496094,3.1794998046874996,-4.237736938476562,-0.044765696845045395,-0.10991577350345969,0.002531393571594829,-8.573636145019531,3.2130186279296873,-4.199429711914062,-0.06754823898939886,-0.04756355289786074,-0.004529862180748642,-8.585607153320312,3.3303345092773435,-4.2521021484374995,-0.05555742733447598,-0.019984686091538122,-0.01345635530163567,-8.451531860351562,3.414131567382812,-4.237736938476562,-0.06994640132038345,-0.005595712105630674,0.0035972434964768626,-8.492233288574218,3.383006945800781,-4.290409374999999,-0.05182695259738887,-0.0021316998497640663,-0.007194486992953725,-8.339004382324218,3.414131567382812,-4.359841223144531,-0.03437366007744557,-0.020384379813368887,-0.006261868308681946,-8.334215979003906,3.153163586425781,-4.333505004882812,-0.011058192970651094,-0.05542419609386573,-0.002398162330984575,-8.511386901855468,3.2130186279296873,-4.218583325195312,-0.018652373685435583,-0.09526033703633173,0.03064318534035846,-8.604760766601562,3.2513258544921873,-4.067748620605468,-0.0031975497746461,-0.04396630940138387,0.019318529888486854,-8.437166650390624,3.399766357421875,-4.367023828124999,-0.005595712105630674,0.016520673835671518,0.012523736617363892,-8.360552197265624,3.383006945800781,-4.395754248046875,-0.013189892820415163,-0.06421745797414251,0.02118376725703041,-8.32463917236328,3.296815686035156,-4.292803576660156,-0.0026646248122050836,-0.11631087305275188,0.02851148549059439,-8.339004382324218,3.1938650146484373,-4.259284753417968,-0.012523736617363892,-0.10272128651050597,0.024514548272286763,-8.55448253173828,3.2034418212890623,-4.216189123535156,-0.025180704475338038,-0.07580857590723461,0.022782542144353463,2026-02-26T12:22:28.245770Z,1
IDLE,-8.288726147460936,3.2824504760742186,-4.786009118652344,-0.26632924997989804,0.19398468632853008,-0.06608269534268607,-7.958326318359375,3.447650390625,-5.250484240722656,-0.1938514550879198,0.2511408885503291,-0.01851914244482533,-7.848193041992187,3.5003228271484375,-5.228936425781249,-0.09792496184853682,0.11431240444359807,-0.02131699849764067,-7.7763669921875,3.5625720703124997,-5.480327600097656,-0.03477335379927634,0.012390505376753637,0.005196018383799912,-7.841010437011718,3.318363500976562,-5.097255334472656,0.010924961730040842,0.02398162330984575,0.033307810152563545,-8.224082702636718,3.2800562744140622,-5.044582897949218,0.006128637068071691,0.014255742745297196,0.03770444109270193,-8.030152368164062,3.287238879394531,-5.125985754394531,-0.01185758041431262,0.025447166956558548,0.006528330789902454,-8.09479581298828,3.411737365722656,-5.0757075195312495,0.013856049023466432,0.008793261880276773,0.014921898948348467,-7.931990100097655,3.402160559082031,-5.080495922851562,0.021716692219471426,0.06235222060559895,0.012656967857974145,-7.869740856933594,3.2345664428710936,-5.015852478027344,0.04743032165725048,0.05595712105630675,0.023315467106794475,-8.068459594726562,3.3016040893554686,-5.195417602539062,0.02997702913730719,0.09752526812670605,0.02464777951289702,-8.09479581298828,3.2321722412109373,-5.286397265624999,0.04783001537908124,0.09073047485558308,0.023581929588014985,-7.934384301757812,3.153163586425781,-5.0948611328124995,0.02904441045303541,0.08446860654690114,0.002797856052815337,-7.862558251953125,3.1962592163085937,-5.293579870605469,0.0073277182335639785,0.09499387455511121,-0.0005329249624410166,-7.75721337890625,3.3111808959960936,-5.365405920410156,-0.008926493120887028,0.08766615632154724,-0.0006661562030512709,2026-02-26T12:22:28.245770Z,1
IDLE,-7.793126403808594,3.246537451171875,-5.367800122070312,-0.03477335379927634,0.00479632466196915,-0.01732006127933304,-7.790732202148437,3.4332851806640625,-5.592855078125,-0.015987748873230498,0.028911179212425153,0.011591117933092112,-7.714117749023437,3.303998291015625,-5.425260961914062,-0.028378254249984136,0.006794793271122962,-0.005062787143189658,-7.862558251953125,3.2225954345703123,-5.365405920410156,-0.0369050536490404,0.005062787143189658,-0.02851148549059439,-7.857769848632812,3.2417490478515623,-5.382165332031249,-0.03037672285913795,0.0255803981971688,-0.023848392069235495,-7.843404638671874,3.318363500976562,-5.57370146484375,-0.03064318534035846,0.08326952538140886,-0.02131699849764067,-7.663839514160156,3.21780703125,-5.719747766113281,-0.04356661567955311,0.036638591167819895,-0.035173047521107094,-7.577648254394531,3.1675287963867187,-5.542576843261719,-0.09526033703633173,0.057156202221799034,-0.0383705972957532,-7.685387329101562,3.191470812988281,-5.556942053222656,-0.08953139369009079,0.013589586542245924,-0.027578866806322613,-7.673416320800781,3.1507693847656246,-5.626373901367187,-0.0415681470703993,0.03530627876171736,-0.024114854550456002,-7.5345526245117185,3.1842882080078123,-5.762843395996094,-0.07927258816310122,-0.02131699849764067,-0.013589586542245924,-7.615955480957031,3.2249896362304686,-5.705382556152343,-0.05475803989081446,-0.046231240491758196,-0.0058621745868511835,-7.785943798828124,3.208230224609375,-5.566518859863281,-0.06448392045536301,-0.05915467083095285,0.0057289433462409285,-7.876923461914062,3.366247534179687,-5.485116003417969,-0.06115313944010666,-0.03863705977697371,-0.02118376725703041,-7.675810522460937,3.289633081054687,-5.5258174316406246,-0.07900612568188072,-0.06488361417719378,-0.03384073511500456,2026-02-26T12:22:28.245770Z,1
IDLE,-7.819462622070312,3.284844677734375,-5.578489868164062,0.01185758041431262,-0.015588055151399738,0.027312404325102103,-7.771578588867187,3.277662072753906,-5.406107348632812,0.009192955602107537,-0.07034609504221419,0.012656967857974145,-7.848193041992187,3.277662072753906,-5.334281298828125,-0.0031975497746461,-0.0816707504940858,0.0063950995492922,-7.781155395507812,3.323151904296875,-5.348646508789062,-0.015188361429568975,-0.05808882090607082,0.011058192970651094,-7.903259680175781,3.399766357421875,-5.425260961914062,-0.013589586542245924,-0.028911179212425153,0.009326186842717792,-7.7596075805664055,3.27526787109375,-5.386953735351562,-0.0063950995492922,-0.0479632466196915,0.00479632466196915,-7.9463553100585935,3.246537451171875,-5.398924743652343,-0.01052526800821008,-0.02997702913730719,0.0002664624812205083,-7.860164050292968,3.2441432495117186,-5.295974072265625,-0.007727411955394742,-0.02691271060327134,-0.007061255752343471,-7.800309008789062,3.248931652832031,-5.398924743652343,-0.009059724361497283,-0.044632465604435144,-0.010258805526989571,-7.884106066894531,3.2058360229492187,-5.415684155273437,-0.022649310903743208,-0.10591883628515206,-0.011457886692481857,-7.917624890136718,3.189076611328125,-5.413289953613281,-0.02531393571594829,-0.08646707515605495,0.0006661562030512709,-7.864952453613281,3.172317199707031,-5.269637854003906,-0.015987748873230498,-0.03290811643073278,0.016653905076281773,-7.8338278320312495,3.2225954345703123,-5.346252307128906,-0.0063950995492922,-0.017719755001163805,0.017586523760553547,-7.805097412109374,3.248931652832031,-5.351040710449219,-0.010791730489430587,-0.08806585004337801,0.002398162330984575,-8.003816149902343,3.239354846191406,-5.236119030761718,-0.021583460978861175,-0.13243185316659264,-0.005062787143189658,2026-02-26T12:22:28.245770Z,1
IDLE,-7.970297326660156,3.2154128295898436,-5.121197351074218,-0.0005329249624410166,-0.08233690669713707,0.028911179212425153,-8.030152368164062,3.2824504760742186,-5.216965417480468,-0.006928024511733216,-0.06515007665841428,0.021983154700691936,-7.9655089233398435,3.421314172363281,-5.2433016357421875,-0.018119448722994567,-0.0610199081994964,0.0191852986478766,-8.0062103515625,3.394977954101562,-5.090072729492187,-0.011724349173702367,-0.04769678413847099,0.016120980113840753,-7.920019091796875,3.2321722412109373,-5.173869787597656,-0.00479632466196915,-0.011990811654922875,0.015454823910789483,-8.030152368164062,3.294421484375,-5.166687182617188,-0.007860643196004996,-0.07580857590723461,0.014655436467127957,-8.070853796386718,3.294421484375,-5.121197351074218,-0.0005329249624410166,-0.021716692219471426,0.015454823910789483,-7.943961108398437,3.327940307617187,-5.149927770996094,0.0026646248122050836,-0.012257274136143382,0.014522205226517705,-8.01818135986328,3.347093920898437,-5.216965417480468,0.0003996937218307625,0.022649310903743208,0.0058621745868511835,-7.867346655273437,3.385401147460937,-5.238513232421875,-0.020650842294589397,-0.010392036767599824,0.0031975497746461,-7.905653881835937,3.404554760742187,-5.197811804199218,-0.027312404325102103,-0.015987748873230498,-0.013989280264076687,-7.781155395507812,3.21780703125,-5.197811804199218,-0.014788667707738212,-0.027578866806322613,-0.021583460978861175,-7.943961108398437,3.1220389648437497,-5.286397265624999,-0.010791730489430587,-0.08766615632154724,-0.006128637068071691,-7.999027746582031,3.0909143432617188,-5.125985754394531,-0.036105666205378875,-0.1028545177511162,0.011990811654922875,-8.073247998046874,3.201047619628906,-5.154716174316406,-0.06728177650817835,-0.05502450237203497,0.011457886692481857,2026-02-26T12:22:28.245770Z,1
IDLE,-8.180987072753906,3.208230224609375,-5.142745166015625,0.022382848422522698,-0.02997702913730719,0.014122511504686942,-8.173804467773436,3.0526071166992184,-5.181052392578125,0.0073277182335639785,0.05222664631921963,-0.0011990811654922875,-8.635885388183594,3.545812658691406,-5.276820458984375,0.05622358353752725,0.0927289434647369,-0.05182695259738887,-9.172186560058593,3.5865140869140624,-5.252878442382812,0.1807947935081149,0.3385405823906558,-0.12017457903044926,-9.22485899658203,3.7804444213867185,-5.054159704589844,0.3076309345690769,0.3996937218307625,-0.36905053649040404,-9.732429748535155,3.3590649291992185,-5.331887097167969,0.13323124061025418,0.49482082762648394,-0.5287947939820988,-9.318232861328125,3.31357509765625,-5.889736083984375,0.160410413694746,0.42940428848684914,-1.0057626353668085,-8.9255837890625,2.5665841796874997,-6.653486413574218,0.10725114869125461,0.25047473234727785,-0.9969693734865319,-8.55448253173828,1.89620771484375,-6.600813977050781,0.4656431859328383,0.112180704593834,-1.2383843814723126,-8.339004382324218,1.0821791503906248,-6.37815322265625,0.1805283310268944,0.03770444109270193,-1.2979387460250962,-7.6279264892578125,0.8092401611328125,-6.303932971191406,0.03357427263378405,0.6221898936498869,-1.1288683016906835,-7.146691955566406,0.277727392578125,-6.167463476562499,0.22969065881207817,0.3240183771641381,-1.0938284854101867,-6.742071875,0.29927520751953124,-6.217741711425781,0.0369050536490404,0.4127503834105674,-0.9454088833703636,-5.9400143188476555,-0.22266075439453123,-6.208164904785156,0.06155283316193742,0.22302909678156546,-0.7756722828328997,-5.844246252441406,-0.5722141967773438,-5.992686755371094,-0.03077641658096871,-0.10458652387904951,-0.496952527476248,2026-02-26T12:22:28.245770Z,1
